plan_name,OWRD_basin,ph_standard,ph_low,ph_high
Clackamas,Willamette,All other basin waters,6,8.5
Clackamas,Willamette,"Cascade Lakes (3,000 ft+)",6,8.5
Crooked River,Deschutes,All other basin waters,6.5,8.5
Crooked River,Deschutes,"Cascade Lakes (3,000 ft+)",6,8.5
Crooked River,Goose & Summer Lakes,All other basin waters,7,9
Crooked River,Goose & Summer Lakes,Goose Lake,7.5,9.5
Coos-Coquille,South Coast,Estuarine and fresh waters,6.5,8.5
Coos-Coquille,South Coast,Marine waters,7,8.5
Goose and Summer Lakes,Goose & Summer Lakes,All other basin waters,7,9
Goose and Summer Lakes,Goose & Summer Lakes,Goose Lake,7.5,9.5
Greater Harney Basin,Malheur Lake,All other basin waters,7,9
Greater Harney Basin,Malheur,All other basin waters,7,9
Greater Harney Basin,Goose & Summer Lakes,All other basin waters,7,9
Greater Harney Basin,Goose & Summer Lakes,Goose Lake,7.5,9.5
Hood River,Hood,All other basin waters,6.5,8.5
Hood River,Hood,Mainstem Columbia River,7,8.5
Hood River,Hood,"Cascade Lakes (3,000 ft+)",6,8.5
Inland Rogue,Rogue,Estuarine and fresh waters,6.5,8.5
Inland Rogue,Rogue,"Cascade Lakes (3,000 ft+)",6,8.5
Klamath Headwaters,Klamath,All other basin waters,6.5,9
Klamath Headwaters,Klamath,"Cascade Lakes (5,000 ft+)",6,8.5
Lost River,Klamath,All other basin waters,6.5,9
Lost River,Klamath,"Cascade Lakes (5,000 ft+)",6,8.5
Lower Deschutes,Deschutes,All other basin waters,6.5,8.5
Lower Deschutes,Deschutes,"Cascade Lakes (3,000 ft+)",6,8.5
Lower Deschutes,Deschutes,Mainstem Columbia River,7,8.5
Lower Deschutes,Hood,All other basin waters,6.5,8.5
Lower Deschutes,Hood,"Cascade Lakes (3,000 ft+)",6,8.5
Lower Deschutes,Hood,Mainstem Columbia River,7,8.5
Sandy Basin,Sandy,All other basin waters,6.5,8.5
Sandy Basin,Sandy,"Cascade Lakes (3,000 ft+)",6,8.5
Lower John Day,John Day,All other basin waters,6.5,9
Lower John Day,John Day,Mainstem Columbia River,7,8.5
Lower Willamette,Willamette,All other basin waters,6,8.5
Lower Willamette,Willamette,Mainstem Columbia River,7,8.5
Malheur River,Malheur,All other basin waters,7,9
Malheur River,Malheur,Mainstem Snake River,7,9
Mid Coast,Mid Coast,Estuarine and fresh waters,6.5,8.5
Mid Coast,Mid Coast,Marine waters,7,8.5
Middle Deschutes,Deschutes,All other basin waters,6.5,8.5
Middle Deschutes,Deschutes,"Cascade Lakes (3,000 ft+)",6,8.5
Middle Willamette,Willamette,All other basin waters,6,8.5
Middle John Day,John Day,All other basin waters,6.5,9
Molalla-Pudding French Prairie North Santiam,Willamette,All other basin waters,6,8.5
Molalla-Pudding French Prairie North Santiam,Willamette,"Cascade Lakes (3,000 ft+)",6,8.5
North Coast,North Coast,Estuarine and fresh waters,6.5,8.5
North Coast,North Coast,Marine waters,7,8.5
North Coast,Willamette,All other basin waters,6,8.5
North Coast,Willamette,Mainstem Columbia River,7,8.5
North and Middle Forks John Day,John Day,All other basin waters,6.5,9
Owyhee,Owyhee,All other basin waters,7,9
Owyhee,Owyhee,Mainstem Snake River,7,9
Owyhee,Malheur,All other basin waters,7,9
Powder-Brownlee,Powder,All other basin waters,6.5,9
Powder-Brownlee,Powder,Mainstem Snake River,7,9
Southern Willamette Valley,Willamette,All other basin waters,6,8.5
Southern Willamette Valley,Willamette,"Cascade Lakes (3,000 ft+)",6,8.5
South Santiam,Willamette,All other basin waters,6,8.5
South Santiam,Willamette,"Cascade Lakes (3,000 ft+)",6,8.5
Tualatin River Subbasin,Willamette,All other basin waters,6,8.5
Umatilla Basin,Umatilla,All other basin waters,6.5,9.5
Umatilla Basin,Umatilla,Mainstem Columbia River,7,8.5
Umatilla Basin,Umatilla,"""Constructed channel"" segment of the West Division Main Canal",4.5,9
Umpqua River,Umpqua,Estuarine and fresh waters,6.5,8.5
Umpqua River,Umpqua,"Cascade Lakes (3,000 ft+)",6,8.5
Umpqua River,Umpqua,Marine waters,7,8.5
Upper Deschutes,Deschutes,All other basin waters,6.5,8.5
Upper Deschutes,Deschutes,"Cascade Lakes (3,000 ft+)",6,8.5
Upper Grande Ronde,Grande Ronde,All other basin waters,6.5,9
Upper Grande Ronde,Grande Ronde,Mainstem Snake River,7,9
Upper Mainstem and South Fork John Day River,John Day,All other basin waters,6.5,9
Upper Willamette-Siuslaw,Willamette,All other basin waters,6,8.5
Upper Willamette-Siuslaw,Willamette,"Cascade Lakes (3,000 ft+)",6,8.5
Upper Willamette-Siuslaw,Mid Coast,Estuarine and fresh waters,6.5,8.5
Walla Walla,Umatilla,All other basin waters,6.5,9.5
Walla Walla,Umatilla,Mainstem Columbia River,7,8.5
Walla Walla,Umatilla,"""Constructed channel"" segment of the West Division Main Canal",4.5,9
Wallowa,Grande Ronde,All other basin waters,6.5,9
Willow Creek,Umatilla,All other basin waters,6.5,9.5
Willow Creek,Umatilla,Mainstem Columbia River,7,8.5
Willow Creek,Umatilla,TMDL Allocation,6.5,9
Yamhill,Willamette,All other basin waters,6,8.5
Yamhill,Willamette,"Cascade Lakes (3,000 ft+)",6,8.5
Burnt River,Powder,All other basin waters,6.5,9
Burnt River,Powder,Mainstem Snake River,7,9
Thousand Virgin,Malheur Lake,All other basin waters,7,9
Hells Canyon,Grande Ronde,All other basin waters,6.5,9
Hells Canyon,Grande Ronde,Mainstem Snake River,7,9
Lower Snake Asotin,Grande Ronde,All other basin waters,6.5,9
Lower Snake Asotin,Grande Ronde,Mainstem Snake River,7,9
Curry County,South Coast,Estuarine and fresh waters,6.5,8.5
Curry County,South Coast,Marine waters,7,8.5
Curry County,Rogue,Estuarine and fresh waters,6.5,8.5
Curry County,Rogue,Marine waters,7,8.5
