PlanName,HUC8
Clackamas,17090011
Clackamas,17090007
Crooked River,17070305
Crooked River,17070304
Crooked River,17070303
Coos-Coquille,17100304
Coos-Coquille,17100305
Coos-Coquille,17100306
Goose and Summer Lakes,17120005
Goose and Summer Lakes,17120006
Goose and Summer Lakes,17120007
Goose and Summer Lakes,18020001
Greater Harney Basin,17120002
Greater Harney Basin,17120004
Greater Harney Basin,17120001
Greater Harney Basin,12120003
Greater Harney Basin,17120009
Greater Harney Basin,17120008
Hood River,17070105
Inland Rogue,17100307
Inland Rogue,17100308
Inland Rogue,17100309
Inland Rogue,17100310
Inland Rogue,17100311
Klamath Headwaters,18010201
Klamath Headwaters,18010202
Klamath Headwaters,18010203
Klamath Headwaters,18010206
Klamath Headwaters,18010205
Lost River,18010204
Lower Deschutes,17070101
Lower Deschutes,17070105
Lower Deschutes,17070306
Sandy Basin,17080001
Lower John Day,17070101
Lower John Day,17070204
Lower Willamette,17090012
Malheur River,17050115
Malheur River,17050116
Malheur River,17050117
Malheur River,17050118
Malheur River,17050119
Malheur River,17050201
Mid Coast,17100204
Mid Coast,17100205
Mid Coast,17100206
Mid Coast,17100207
Middle Deschutes,17070301
Middle Deschutes,17070305
Middle Deschutes,17070306
Middle Deschutes,17070307
Middle Willamette,17090003
Middle Willamette,17090007
Middle John Day,17070201
Middle John Day,17070204
Molalla-Pudding French Prairie North Santiam,17090005
Molalla-Pudding French Prairie North Santiam,17090007
Molalla-Pudding French Prairie North Santiam,17090009
North Coast,17080003
North Coast,17080006
North Coast,17080012
North Coast,17100201
North Coast,17100202
North Coast,17100203
North and Middle Forks John Day,17070202
North and Middle Forks John Day,17070203
Owyhee,16040201
Owyhee,17050103
Owyhee,17050105
Owyhee,17050106
Owyhee,17050107
Owyhee,17050108
Owyhee,17050109
Owyhee,17050110
Powder-Brownlee,17050201
Powder-Brownlee,17050203
Southern Willamette Valley,17090001
Southern Willamette Valley,17090002
Southern Willamette Valley,17090003
Southern Willamette Valley,17090004
South Santiam,17090003
South Santiam,17090006
Tualatin River Subbasin,17090010
Umatilla Basin,17070101
Umatilla Basin,17070103
Umpqua River,17100301
Umpqua River,17100302
Umpqua River,17100303
Upper Deschutes,17070301
Upper Deschutes,17070302
Upper Deschutes,17070305
Upper Grande Ronde,17060104
Upper Mainstem and South Fork John Day River,17070201
Upper Willamette-Siuslaw,17090003
Upper Willamette-Siuslaw,17100206
Walla Walla,17070102
Wallowa,17060102
Wallowa,17060105
Wallowa,17060106
Willow Creek,17070101
Willow Creek,17070103
Willow Creek,17070104
Yamhill,17090007
Yamhill,17090008
Burnt River,17050202
Thousand Virgin,16040205
Hells Canyon,17060101
Lower Snake Asotin,17060101
Lower Snake Asotin,17060103
Curry County,17100306
Curry County,17100310
Curry County,17100312
